sensor_id,timestamp,data_type,raw_value,is_outlier,sequence
temp-003,1756193477.27,temperature,25.08,False,1
temp-003,1756193477.37,temperature,24.89,False,2
temp-003,1756193477.47,temperature,25.04,False,3
temp-003,1756193477.58,temperature,25.04,False,4
temp-003,1756193477.68,temperature,25.18,False,5
temp-003,1756193477.78,temperature,25.09,False,6
temp-003,1756193477.89,temperature,25.1,False,7
temp-003,1756193477.99,temperature,24.88,False,8
temp-003,1756193478.09,temperature,25.21,False,9
temp-003,1756193478.2,temperature,25.0,False,10
temp-003,1756193478.3,temperature,24.98,False,11
temp-003,1756193478.4,temperature,25.09,False,12
temp-003,1756193478.5,temperature,24.97,False,13
temp-003,1756193478.61,temperature,24.96,False,14
temp-003,1756193478.71,temperature,24.95,False,15
temp-003,1756193478.81,temperature,25.17,False,16
temp-003,1756193478.92,temperature,25.11,False,17
temp-003,1756193479.02,temperature,25.18,False,18
temp-003,1756193479.13,temperature,24.94,False,19
temp-003,1756193479.23,temperature,25.13,False,20
temp-003,1756193479.34,temperature,25.04,False,1
temp-003,1756193479.44,temperature,24.78,False,2
temp-003,1756193479.54,temperature,25.05,False,3
temp-003,1756193479.65,temperature,24.91,False,4
temp-003,1756193479.75,temperature,24.8,False,5
